title,authors,published_date,source,source_type,url,abstract,decision,category,highlight,rationale
Poleward migration of tropical cyclones over 1980–2024 is dominated by Pacific variability,"Wenyu Zhou, L. Ruby Leung, Chuan-Chieh Chang, Ming Zhao, Huang-Hsiung Hsu, Hsin-Chien Liang, Chia-Ying Tu, Karthik Balaguru, Jian Lu",2025-12-15,Nature Geoscience,Academic,https://doi.org/10.1038/s41561-025-01866-2,,,,,
Sedimentary conditions drive modern pyrite burial flux to exceed oxidation,"Cornelia Mertens, Sarah Paradis, Jordon Hemingway",2025-12-12,Nature Geoscience,Academic,https://doi.org/10.1038/s41561-025-01855-5,"Abstract Pyrite (iron sulfide) formation and burial in sediments decreases atmospheric CO 2 and increases O 2 levels. However, the environmental and sedimentological conditions that regulate pyrite burial remain poorly constrained. Here we investigate such controlling mechanisms using a non-dimensional diagenetic model that extracts the natural variables governing pyrite formation rate and sulfur isotopic composition ( δ 34 S). Both properties are controlled by the local ratios of organic carbon content to sulfate concentration and organic carbon reactivity to sedimentation rate; formation rate is additionally sensitive to reactive iron delivery. Using only globally interpolated boundary conditions, our model accurately predicts signals in 216 sediment cores distributed across the modern ocean. Extrapolating this, we estimate a global pyrite burial flux of 7.0 × 10 12 mol S yr −1 (sensitivity test range: 2.5 × 10 12 to 19.0 × 10 12 mol S yr −1 ) with a weighted-average δ 34 S value of −4‰ (range: −8 to +3‰). This flux is substantially larger than terrestrial pyrite oxidation, indicating that the sulfur cycle is currently not in steady state but is instead described by net pyrite burial and thus atmospheric O 2 accumulation. Finally, we interpret the geologic pyrite δ 34 S record within this model framework and identify flooded shelf area as the main control on pyrite burial throughout the Phanerozoic Eon.",,,,
A comprehensive database for high-throughput identification of archaeal lipids using high-resolution mass spectrometry,"Fengfeng Zheng, Wenyong Yao, Wei He, Wan Zhang, Yufei Chen, Huahui Chen, Zhirui Zeng, Xiao-Lei Liu, Su Ding, Yanhong Zheng, Linan Huang, Yuanqing Zhu, Chuanlun Zhang",2025-12-15,Nature Communications,Academic,https://doi.org/10.1038/s41467-025-67286-3,,,,,
Unequal mitochondrial segregation promotes asymmetric fates during neurogenesis,"Benjamin Bunel, Rémi Leclercq, Rosette Goïame, Arnaud Gautier, Xavier Morin, Evelyne Fischer",2025-12-15,Nature Communications,Academic,https://doi.org/10.1038/s41467-025-66932-0,"Abstract Asymmetric cell division plays a critical role during vertebrate neurogenesis by generating neuronal cells while maintaining a pool of progenitors. It relies on unequal distribution of cell fate determinants during progenitor division. Here, we use live imaging in the chick embryonic neuroepithelium to demonstrate that mitochondria behave as asymmetric fate determinants during mitosis. We show that the frequency of unequal distribution of mitochondria increases in parallel with the rate of asymmetric divisions during development. Furthermore, fate tracking experiments reveals that following progenitor division, a cell inheriting fewer mitochondria than its sister consistently differentiates into a neuron. We set up a chemogenetic approach to experimentally displace mitochondria specifically during mitosis to force their unequal inheritance and find that this drives premature neuronal differentiation. In this work, we establish a direct causal relationship between unequal mitochondrial inheritance and the asymmetric fate of sister cells in vivo, revealing a pivotal mechanism for neurogenesis.",,,,
Single-neuron correlates of visual consciousness in human lateral occipital complex,"Michaël Vanhoyland, Peter Janssen, Tom Theys",2025-12-15,Nature Communications,Academic,https://doi.org/10.1038/s41467-025-67077-w,"Abstract Conscious perception, a critical aspect of human cognition, is assumed to emerge from a complex network of interacting brain regions that transmit information via feedforward and recurrent pathways. This study presents single- and multiunit recordings from the human lateral occipital complex (LO), a key region for shape and object recognition, during three distinct perceptual paradigms: backward masking, flash suppression and binocular rivalry. Stimulus awareness increased decoding accuracy and decoders assigned higher probabilities to the consciously perceived stimulus during periods of dichoptic stimulus presentation. These findings highlight the intricate neural mechanisms underlying visual awareness and show that LO responses predominantly align with subjective phenomenology, offering new insights into the neural correlates of visual consciousness.",,,,
Reconstituting transcription–translation-coupled DNA replication within complex in vitro biological systems,"Xiao Zheng, Wenli Gao, Wan-Qiu Liu, Yufei Zhang, Shuhui Huang, Xiangyang Ji, Yicong Lu, Yifan Liu, Shengjie Ling, Jian Li",2025-12-15,Nature Communications,Academic,https://doi.org/10.1038/s41467-025-67411-2,,,,,
Persistent pneumococcal colonisation in antiretroviral-treated HIV infection is associated with nasal inflammation,"Joseph Aston Phiri, Lusako Lucky Sibale, Gloria Kapira, Lukerensia Mlogoti, James Tchado Nyirenda, Ndaona Mitole, Alice Kusakala, Charles Ndovi, Precious Chigamba, Aaron Pearson Chirambo, Klara Doherty, Robert K. Nyirenda, Thokozani Kayembe, Janet Zambezi, Edwin Lisimba, Memory Nekati Mvula, David Viyezgo Mhango, Leonard Mvaya, Stephen B. Gordon, Benjamin Kumwenda, Christopher Moxon, Daniela M. Ferreira, Henry C. Mwandumba, Kondwani C. Jambo",2025-12-15,Nature Communications,Academic,https://doi.org/10.1038/s41467-025-67258-7,,,,,
Semi-supervised clustering for operating condition recognition in sulfide ore flotation froth,"Hao Wang, Qinshan Liu, Mengdi Xu, Lei Xie, Yaowen Xing, Xiahui Gui",2025-12-15,Minerals Engineering,Academic,https://doi.org/10.1016/j.mineng.2025.110015,,,,,
Solidification and stabilization of molybdenum tailings dams using biomineralization,"Zhimin Li, Congqing Yang, Zihao Li, Xiaoqing Yuan, Hongbo Liu, Futong Wang",2025-12-14,Minerals Engineering,Academic,https://doi.org/10.1016/j.mineng.2025.110017,,,,,
"Selective depression of copper-activated arsenopyrite using a novel organic small-molecule depressant, 1,2,4-benzenetriol, for sphalerite flotation separation","Zhiqiang Zhao, Zehui Gao, Chongjun Liu, Yangge Zhu, Xubo Chen",2025-12-13,Minerals Engineering,Academic,https://doi.org/10.1016/j.mineng.2025.110011,,,,,
Synergy between NH4+/NH3 and citrate suppresses CaSO4 passivation and enhances Sulfuric-Acid leaching of rhodochrosite,"Yaoyu Yan, Shuchen Sun, Jing Wei, A. Shubo, Faxin Xiao, Ganfeng Tu",2025-12-13,Minerals Engineering,Academic,https://doi.org/10.1016/j.mineng.2025.110016,,,,,
Selective leaching of Cu and Co from stratiform sediment-hosted copper ore using deep eutectic solvents,"Rupert Heathcote, William Nash, Arthur Graf, Karen A. Hudson-Edwards, Rich Crane",2025-12-13,Minerals Engineering,Academic,https://doi.org/10.1016/j.mineng.2025.109990,,,,,
Study on the blending of AOS/CAB-35binary surfactants and their foam dust suppression performance,"Zeyu Zhu, Shilin Li, Pengfei Wang, Jie Mao, Kai Wei, Yunfei Li, Herzl Chai, Yong Chen",2025-12-11,Powder Technology,Academic,https://doi.org/10.1016/j.powtec.2025.122026,,,,,
Dynamic response and energy evolution of sandstone under cyclic wet-dry and loading: Implications for degradation and fragmentation characteristics,"Xianqi Zhang, Yi Luo, Jinrui Zhang, Hangli Gong, Zhaowei Yang, Jianyu Li",2025-12-10,Powder Technology,Academic,https://doi.org/10.1016/j.powtec.2025.122025,,,,,
Efficient separation of iron and manganese from ferromanganese ore by microwave-assisted fluidization magnetization roasting,"S.C. Li, Wentao Zhou, Jiali Chen, Xiao Liu, Shenghan Li, Jinlin Yang, Dingzheng Wang, Zhaoying Zuo, Yukun Fan, Qingfang Liu",2025-12-10,Powder Technology,Academic,https://doi.org/10.1016/j.powtec.2025.122031,,,,,
Residual-based fault detection and isolation in control environment agriculture,"Lukas Munser, Ángeles Hoyo, Felix Petzke, Jaime A. Moreno, Stefan Streif",2025-12-13,Journal of Process Control,Academic,https://doi.org/10.1016/j.jprocont.2025.103607,,,,,
Multi-stage Economic Nonlinear Model Predictive Control of bioreactors using dynamic flux balance analysis models,"Rafael David de Oliveira, Johannes Jäschke",2025-12-11,Journal of Process Control,Academic,https://doi.org/10.1016/j.jprocont.2025.103595,,,,,
"V-Tiger auto-tuning optimizing overshoot, settling time, and chattering over 95% confidence intervals","Kento Sawai, Yuto Uchiyama, Manabu Kosaka",2025-12-15,Control Engineering Practice,Academic,https://doi.org/10.1016/j.conengprac.2025.106693,,,,,
Robust power extraction in offshore permanent magnet vernier generator wind turbines using noise-resilient wind forecasting and anti-chattering control,"Ameerkhan Abdul Basheer, Jung Wook Park, Jae Hoon Jeong",2025-12-15,Control Engineering Practice,Academic,https://doi.org/10.1016/j.conengprac.2025.106695,,,,,
B-splines-based mechanism design in population games for distributed evolutionary dynamics formation control,"Cong Khanh Dinh, Vincent Marguet, Ionela Prodan, Carlos Ocampo-Martinez, Nicanor Quijano, Julian Barreiro-Gomez",2025-12-14,Control Engineering Practice,Academic,https://doi.org/10.1016/j.conengprac.2025.106676,,,,,
High-precision multi-shuttle operation of a segmented stator permanent magnet linear synchronous motor,"Gerd Fuchs, Andreas Kugi, Wolfgang Kemmetmüller",2025-12-13,Control Engineering Practice,Academic,https://doi.org/10.1016/j.conengprac.2025.106709,,,,,
Design and experimental evaluation of a hierarchical coupling motion controller for distributed vehicles considering hierarchical control characteristics,"Guoying Chen, Jun Yao, Chenxiao Bi, Xuanming Zhao, Min Hua, Huili Yu, Liunan Yang, Zhenhai Gao",2025-12-13,Control Engineering Practice,Academic,https://doi.org/10.1016/j.conengprac.2025.106696,,,,,
Mine Planning with Variable Price Input: A Case of Using Mine Planning Software,"Lawrence Madziwa, Mallikarjun Pillalamarry, Snehamoy Chatterjee",2025-12-13,"Mining, Metallurgy & Exploration",Academic,https://doi.org/10.1007/s42461-025-01390-2,,,,,
Silver Telluride Dissolution by Sustainable Leaching Oxidation with Ozone: Kinetics and Stoichiometry Assessment,"Carolina de Jésus Rodríguez Rodríguez, Juan Carlos Baltazar Vera, Ricardo Solís–Rodríguez, Joel Everardo Valtierra-Olivares, Mercedes Salazar-Hernández, Ma. del Rosario Abraham-Juárez, S. Bello-Teodoro, Omero Alonso González, Juan Antonio González-Anaya",2025-12-13,"Mining, Metallurgy & Exploration",Academic,https://doi.org/10.1007/s42461-025-01414-x,,,,,
Production of Nanostructured HfB₂ by Self-Propagating High-Temperature Synthesis (SHS),Serkan Başlayıcı,2025-12-11,"Mining, Metallurgy & Exploration",Academic,https://doi.org/10.1007/s42461-025-01431-w,,,,,
From motivation to implementation: A firm-level model of customer-oriented green actions,"Angelo Paletta, Daniele Scarpi, Genc Alimehmeti, Eleonora Foschi",2025-12-15,Journal of Cleaner Production,Academic,https://doi.org/10.1016/j.jclepro.2025.147273,,,,,
Evaluation of deconvolution methods and loading parameters in nanoindentation characterization of sodium aluminosilicate hydrate gel in fly ash based geopolymers,"Wenrui Xu, Youjun Xie, Fan Wang, Zhiyu Luo, Gang Ma, Yiran Li, Yingjie Li, Guangcheng Long, Zhuo Tang",2025-12-15,Journal of Cleaner Production,Academic,https://doi.org/10.1016/j.jclepro.2025.147307,,,,,
"Challenges, risks and costs of food sharing. Insights from a systematic literature review","Vera Sadovska, Yuliya Voytenko Palgan, Oksana Mont",2025-12-15,Journal of Cleaner Production,Academic,https://doi.org/10.1016/j.jclepro.2025.147292,,,,,
Power load analysis and configuration optimization of a hybrid microgrid integrating food waste-to-biogas and photovoltaics,"Liangqi Chen, Ziyang Cheng, Huifeng Yue, Jiangfeng Wang, Juwei Lou, K.J. Chua",2025-12-15,Journal of Cleaner Production,Academic,https://doi.org/10.1016/j.jclepro.2025.147295,,,,,
Extending the theory of planned behavior: Factors influencing private homeowners’ decisions to install bio-based insulation in Germany,"Isabella Johanna Limbrunner, Klaus Menrad, Agnes Emberger-Klein",2025-12-15,Journal of Cleaner Production,Academic,https://doi.org/10.1016/j.jclepro.2025.147220,,,,,
Social change and social conflict in Zambian Copperbelt mine communities,"Lisa Kwaleyela, Miles Larmer",2025-12-13,Resources Policy,Academic,https://doi.org/10.1016/j.resourpol.2025.105815,,,,,
Examination of the impacts of systemic financial stress on precious metal prices,"Oğuzhan Özçelebi, José Pérez-Montiel, Carles Manera",2025-12-12,Resources Policy,Academic,https://doi.org/10.1016/j.resourpol.2025.105809,,,,,
Are some minerals more governable? Copper mining materialities and formalization of artisanal and small-scale mining in Peru,"Luís Arturo Ávila Meléndez, Sandra McKay",2025-12-12,Resources Policy,Academic,https://doi.org/10.1016/j.resourpol.2025.105813,,,,,
The long-run price versus the price in the long term for mineral and energy commodities,Juan Ignacio Guzmán,2025-12-12,Resources Policy,Academic,https://doi.org/10.1016/j.resourpol.2025.105822,,,,,
"The EV transition: The impact of the EU battery directive on critical material supply, recycling and battery costs","Malene Fumany, Viet Nguyen-Tien, Nanxi Li, Robert J.R. Elliott, Laura Lander",2025-12-12,Resources Policy,Academic,https://doi.org/10.1016/j.resourpol.2025.105787,,,,,
"Bioleaching: from natural ores to urban mines for sustainability, circularity, and carbon neutrality","Anil Kumar, Ana Teresa Lima, Gunvor M. Kirkelund, Pernille E. Jensen, Lisbeth M. Ottosen, Valerio Funari, Alan Shemi, Sehliselo Ndlovu, Helena I. Gomes",2025-12-15,"Resources, Conservation and Recycling",Academic,https://doi.org/10.1016/j.resconrec.2025.108746,,,,,
Minimizing food waste and costs in hospital environments through a chance-constrained stochastic programming model,"Mariana Arriz-Jorquiera, Jorge A. Acuna, José L. Zayas-Castro",2025-12-15,"Resources, Conservation and Recycling",Academic,https://doi.org/10.1016/j.resconrec.2025.108720,,,,,
Material bottlenecks of batteries within the energy transition,"Lana Söltzer, Bernhard Wortmann, Detlef Stolten, Jochen Linßen, Heidi Heinrichs",2025-12-14,"Resources, Conservation and Recycling",Academic,https://doi.org/10.1016/j.resconrec.2025.108745,,,,,
A typology of resource circularity in cities,"Benjamin Goldstein, Danielle Levy, Jason K. Hawes, Brandon Marc Finn",2025-12-13,"Resources, Conservation and Recycling",Academic,https://doi.org/10.1016/j.resconrec.2025.108743,,,,,
